web-scraper-order,web-scraper-start-url,paging,paging-href,links,links-href,title,price,priceWas,Rating,Rating_Count,discount
"1666980406-186","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Cactus Fitness Cactus
fitness Yoga Pilates ……EGP 345.00EGP 3686% Off","https://www.noon.com/egypt-en/cactus-fitness-yoga-pilates-mat-gym-exercise-mat-home-fitness-for-women-and-men-non-slip-tpe-mat-183cm-extra-long/Z32F83DB40EC8BFF57E40Z/p/?o=z32f83db40ec8bff57e40z-1","Cactus fitness Yoga Pilates Mat Gym Exercise Mat Home Fitness For Women And Men Non-slip TPE mat 183cm extra long","EGP 345.00 Inclusive of VAT","EGP 368.00","null","null","6% Off"
"1666980414-187","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","body heart Yoga Ball
With Air Pump - 85 c……EGP 192.50","https://www.noon.com/egypt-en/yoga-ball-with-air-pump-85-cm-85centimeter/N16529639A/p/?o=b8b9be03ab42e28d","Yoga Ball With Air Pump - 85 cm 85centimeter","EGP 192.50 (Inclusive of VAT)","null","null","null","null"
"1666980422-188","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat …EGP 400.00","https://www.noon.com/egypt-en/exercise-mat/ZF7E5AD0ECB07E0928CB5Z/p/?o=zf7e5ad0ecb07e0928cb5z-1","Exercise Mat","EGP 400.00 (Inclusive of VAT)","null","null","null","null"
"1666980428-189","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat 5Mm P……EGP 300.00","https://www.noon.com/egypt-en/exercise-mat-5mm-pvc/Z377D0E24CDC73E28ABF3Z/p/?o=z377d0e24cdc73e28abf3z-1","Exercise Mat 5Mm Pvc","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980434-190","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","PUMA Yoga Mat …EGP 1239.00EGP 237947% Off","https://www.noon.com/egypt-en/yoga-mat/Z1116E9980CFF14A2631DZ/p/?o=z1116e9980cff14a2631dz-1","Yoga Mat","EGP 1239.00 Inclusive of VAT","EGP 2379.00","null","null","47% Off"
"1666980440-191","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat …EGP 400.00","https://www.noon.com/egypt-en/exercise-mat/Z54AEE30A5B0B80A2810DZ/p/?o=z54aee30a5b0b80a2810dz-1","Exercise Mat","EGP 400.00 (Inclusive of VAT)","null","null","null","null"
"1666980446-192","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Liveup Yoga Foam
Roller 34x14centimet……EGP 295.00","https://www.noon.com/egypt-en/yoga-foam-roller-34x14centimeter/N23730184A/p/?o=dedcbb88d6a6b8dc","Yoga Foam Roller 34x14centimeter","EGP 295.00 (Inclusive of VAT)","null","null","null","null"
"1666980450-193","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat …EGP 300.00","https://www.noon.com/egypt-en/exercise-mat/Z6AA6AAF9605049E4696AZ/p/?o=z6aa6aaf9605049e4696az-1","Exercise Mat","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980456-194","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat …EGP 300.00","https://www.noon.com/egypt-en/exercise-mat/ZD2498CDA1356B99DC9C8Z/p/?o=zd2498cda1356b99dc9c8z-1","Exercise Mat","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980462-195","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat 5Mm P……EGP 300.00","https://www.noon.com/egypt-en/exercise-mat-5mm-pvc/ZDF32236225223318A871Z/p/?o=zdf32236225223318a871z-1","Exercise Mat 5Mm Pvc","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980467-196","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home Athlete
Home Pvc 8Mm Mat……EGP 300.00","https://www.noon.com/egypt-en/athlete-home-pvc-8mm-mat-multi-color-with-bag/ZD84DFDE797839ACCF9A5Z/p/?o=zd84dfde797839accf9a5z-1","Athlete Home Pvc 8Mm Mat Multi Color With Bag","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980471-197","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat 5Mm P……EGP 300.00","https://www.noon.com/egypt-en/exercise-mat-5mm-pvc/ZF21DA46917C13FC81AD8Z/p/?o=zf21da46917c13fc81ad8z-1","Exercise Mat 5Mm Pvc","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980477-198","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat 5Mm P……EGP 300.00","https://www.noon.com/egypt-en/exercise-mat-5mm-pvc/ZB8791342E5A8EA03667EZ/p/?o=zb8791342e5a8ea03667ez-1","Exercise Mat 5Mm Pvc","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980482-199","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat …EGP 400.00","https://www.noon.com/egypt-en/exercise-mat/Z7FCF68AE5392676BD272Z/p/?o=z7fcf68ae5392676bd272z-1","Exercise Mat","EGP 400.00 (Inclusive of VAT)","null","null","null","null"
"1666980488-200","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat …EGP 400.00","https://www.noon.com/egypt-en/exercise-mat/Z9490EA06E42FA79DF7A6Z/p/?o=z9490ea06e42fa79df7a6z-1","Exercise Mat","EGP 400.00 (Inclusive of VAT)","null","null","null","null"
"1666980492-201","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home Athlete
Home Balance Pad …EGP 200.00","https://www.noon.com/egypt-en/athlete-home-balance-pad/ZDBEEFDA5F0862CA5E462Z/p/?o=zdbeefda5f0862ca5e462z-1","Athlete Home Balance Pad","EGP 200.00 (Inclusive of VAT)","null","null","null","null"
"1666980497-202","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home Athlete
Home Foam Roller 3……EGP 300.00","https://www.noon.com/egypt-en/athlete-home-foam-roller-33-cm-new-shape/Z8F1C50A1D91286612F74Z/p/?o=z8f1c50a1d91286612f74z-1","Athlete Home Foam Roller 33 Cm New Shape","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980503-203","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home Athlete
Home Foam Roller 3……EGP 300.00","https://www.noon.com/egypt-en/athlete-home-foam-roller-33-cm-new-shape/Z070ABC567E0E8A4CE92AZ/p/?o=z070abc567e0e8a4ce92az-1","Athlete Home Foam Roller 33 Cm New Shape","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980511-204","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat 5Mm P……EGP 300.00","https://www.noon.com/egypt-en/exercise-mat-5mm-pvc/Z1C9573D48BB7084DBD80Z/p/?o=z1c9573d48bb7084dbd80z-1","Exercise Mat 5Mm Pvc","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
"1666980516-205","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","USE CODE DISC50 - BUY FOR 500 & GET 50 OFFAthlete Home
Exercise Mat 5Mm P……EGP 300.00","https://www.noon.com/egypt-en/exercise-mat-5mm-pvc/Z4FFF3D0340E47F1EC0EFZ/p/?o=z4fff3d0340e47f1ec0efz-1","Exercise Mat 5Mm Pvc","EGP 300.00 (Inclusive of VAT)","null","null","null","null"
